text,Joy,Fear,Anger,Sadness,Surprise
"I opened the do0r to his bedro0m and saw... Awwww... His whole ro0m was filled with red, pink and white ballo0ns...:] thats my babe tryin to walk through all of the ballo0ns... and i had to sort through all the ballo0ns and lo0k for two ballo0ns with surprises in them Then he gave me roses he made out of M & ms:], you know what i mean ( ( sorry my thumbs retarded ) )",1,1,0,0,1
I close my eyes determined to find light every ray that shines through is blotted with the darkest of dark I hear a constant drumming.,0,1,0,1,0
"Just as the priest asks if there is any objections, a huge booming thunder rolls out, sounding like a cannon in the church.",0,1,0,0,1
"There was nothing else of mine in her belongings, and I stood up and dusted my hands off.",1,0,0,0,0
"My eyes drank in the wild landscapes, like I'd discovered a new land.",1,0,0,0,0
I was horribly mistaken.,0,1,0,1,1
"I shook my head, put the car in gear, and had to force myself to drive away.",0,1,0,1,0
"It was dark but I could see my door was slightly open, and on the other side was from what I could tell a giant eye.",0,1,0,0,1
"I met my best female friend on omegle, she lives 3000 miles away from me and we have never met.",1,1,0,0,1
Any potential bride is warned:  The groomsmen gifts will be swords.,0,1,0,0,1
JUST STOP IT ALREADY!,0,1,1,0,0
It cut through all the fear and anger in my brain.,0,1,1,0,0
She finally decided to go to the doctor.,1,1,0,0,0
Then he drove away.,0,0,0,0,0
"I don't mind conditioning, but with my hip?",0,1,0,0,0
"Jeff got in the tub with me at some point and was also rubbing my back and such, as most of my labor was in my lower back.",0,1,0,1,0
"It was probably about 21:00, either way it had already gone very dark (was possibly winter time).",0,1,0,0,0
"Thats right,  this iPhone had been lying on train tracks, in broad daylight, for 6 months, and it still worked flawlessly.",1,0,0,0,1
"( my foot, i think, had stopped bleeding for the most part by now. )",0,1,0,0,0
My mom wanted us just to spite my dad.,0,1,1,1,0
"I was okay, though it was hot when it landed at on my arm.",0,0,0,0,0
Fucking freaked me out...never found out where the hell that coat fell from,0,1,1,0,1
The storm gets worse.,0,1,0,0,0
You've clearly been to hell and back.,0,1,0,1,0
"That night, around 2am, she woke up to the sound of a woman screaming.",0,1,0,1,1
& # x 26; nbsp; The rocks were so slippery and I kept bending my ankle between rocks.,0,1,0,0,0
Then I got to a parking lot and got a funny idea in my head to toss it at a car.,1,0,0,0,0
They ended up suspending girls as well.,0,0,1,0,0
Now this was even more precious to my heart.,1,0,0,0,0
"like seriously, alot can not understand and im slow at registering words in my brain during that time, so yeah.",0,1,0,1,0
"i tried to get out of bed and as i did, i immediately fell on the floor, unable to get my legs underneath me.",0,1,0,1,1
"They fit the intended recipient, but are entirely too big for my feet.",0,0,0,1,0
My feet started taking a heavy beating and the sun was burning my whole body.,0,1,0,1,0
"I did as much time as I could on my feet for closing gate, but had to sit for stretch before cannon.",0,1,0,0,0
My brother noticed my face was really red.,0,0,0,0,0
"as usual, i feel like im carrying too much burdens in my heart.",0,1,0,1,0
Anyway we've been married almost nine years.,1,0,0,0,0
Douse them in infanticide.,0,1,1,1,0
"The Spot on my ear was bot good, but not alarming.",0,0,0,0,0
"They jumped from the couch and aimed for all of the areas with sensitive skin-the underside of my arm, along my belt line, the insides of my thighs.",0,1,0,0,0
It freaked my uncle right the hell out.,0,1,0,0,1
Mildly inconvenient but so weird.,1,1,0,0,1
We've been friends ever since then.,1,0,0,0,0
What happened to my heart when it broke into pieces?,0,0,0,1,0
"I must have had a strange look on my face because my mother said, `` What's wrong? ''",0,1,1,1,0
"Back in 2006 when I was in high school I took Earth Sciences, and in the spring I was on my teacher's computer when I came across a photo of me giving the thumbs up.",1,0,0,0,1
"However, I get sick to my stomach when I think about the fact that I have been sleeping with my brother for so long.",0,1,0,0,0
I stopped a couple times to stretch out my calves and quads.,0,0,0,0,0
He didn't swerve.,0,1,0,0,0
"Fox arose from his limp slumber, And drank cold water From my eyes.",0,0,0,1,0
Alarms rang in my head.,0,1,0,0,0
"This will get lost but whatever, Nobody fucking believes me.",0,1,1,1,0
I am still getting used to getting my feet in and out of the clips on the spd pedals.,0,1,0,0,0
I try to slow down things.,0,1,0,0,0
""" It was super creepy.",0,1,0,0,1
He was my dad.,0,0,0,1,0
The silent one looked increasingly nervous.,0,1,0,0,0
"People are starting to chant ""Fight, fight fight"" while some say ""Bro, it ain't worth it"".",0,1,1,0,1
"But I am exhausted-my eyes feel like they are about to pop out of my head-I need some soothing music and images to help my mediate, even for a few minutes, just take me away $ # 365 yoga Monday's Musical Meditation: 0 minutes ago early night-first day of work after mat.",0,1,0,1,0
"The manager was at the till beside the front door, and the rest of us were mopping upstairs, cleaning tables and giving the staff toilet and stock room the once over.",0,0,0,0,0
It was hairless and covered in gray skin.,0,1,0,0,1
Second story (equally creepy):,0,1,0,0,1
I was still naked.,0,1,0,0,1
I can't bend or twist my head and no lifting anything over 10 pounds.,0,1,0,1,0
This is where the story gets CREEPY.,0,1,0,0,1
So I got my hand on the Healthy wear powder foundation in creamy beige for $ 3.45.,1,0,0,0,0
"Her hair was greasy, stringy, and falling out.",0,1,0,1,0
"I freaked out and, eyes still closed, went back to bed.",0,1,0,0,1
This hasnt changed since I was very young.,0,0,0,1,1
Not exactly an objection but very close.,0,1,1,0,1
"We get to the porch and my dog starts *growling*, like a big boy growl, like shits going down growl.",0,1,0,0,1
"A close friend set me up on a double date with her, her boyfriend, and the boyfriend's friend on Valentine's Day.",1,1,0,0,1
Thankfully I never went through with it.,1,1,0,0,0
"No water damage, sun damage, tears, anything.",0,0,0,0,1
There's my stoner floor mate with a fucking stun gun.,0,1,1,0,1
I naively walked up and stuck my head in the driver's window hole.,0,1,0,0,1
And you'll have just married psycho ex.,0,1,1,0,0
"My mother announced our names into the intercom; I folded my hands prayer-like: calm down, calm down, calm down.",0,1,0,0,0
"They strapped some thing ( yes, that's a technical term ) around my belly that monitors the baby's heartbeat and contractions ( which I was unaware of at the time, but found out about later. )",0,1,0,0,0
"I ran my hand through my hair, trying to clear my head.",0,1,0,0,0
I washed it out and for about 3 days my eye stayed bloodshot.,0,1,0,1,0
"So the money is ""taken"" from the employees.",0,0,1,0,0
That thing was there.,0,1,0,0,1
We haven't talked about it since.,0,0,0,1,0
""" I radioed to Infinity.",0,0,0,0,0
These dogs jump on me and scratch my legs and when I get out of the car they try to jump inside.,0,1,1,0,0
I closed my eyes and tried my best to ignore it and i eventually ended up falling asleep.,0,1,0,0,0
The black panther is here!.,0,1,0,0,1
"Just going for a walk once, I saw a car turn down a road that was a dead end.",0,0,0,0,1
"It was a dark, awful feeling.",0,1,0,1,0
"The lady with the suction thing kept getting it stuck on my tongue so it made this weird duck noise, which made me giggle nervously and delay the entire procedure.",1,1,0,0,1
The bus is gone.,0,1,0,1,1
I had worked and my hand's still hurt and all kinds of bullshit lazy Cleo reasons for not going out and having fun when I have time.,0,1,1,1,0
He never took out the garbage.,0,0,1,1,0
"But I was feeling really nervous, and my hands were sweaty.",0,1,0,0,0
I felt a slight heat creep over my cheeks and I giggled lightly coming back to the thought that he was all mine.,1,0,0,0,0
Immediately my throat tightens.,0,1,0,0,0
"I went up on stage and sang my heart out, and afterwards signed up to sing another song with Becca ( alas we ran out of time ), and though I don't know any dance moves, I got a bit of a rythm, so it was all good!",1,0,0,0,0
my lungs and chest have hurt for 6 days straight.,0,1,0,1,0
"My grandma used to do a ""magic trick"" that to this day i can't explain.",1,0,0,0,1
"I stopped, my foot already at a turn in the road that led down to a sunlit valley.",1,0,0,0,0
It leaves both my hands free to be able to type.,1,0,0,0,0
"I suppose I could put a piece of my heart in there, too, since our children are exactly that, aren't they?",0,0,0,0,0
Never saw them again...,0,0,0,1,0
"When I pulled her back in, her hand went to the perfect spot on my chest.",1,0,0,0,0
"So he should be eating the pizza I'm stuffing into my face, like a chipmunk.I understand the impulse these days.",1,0,0,0,0
I hollered but nobody came to see it.,0,1,1,1,1
"My body is bruised, my leg is cut, and my ego is tarnished!",0,1,1,1,0
I go to her pictures and see the image of what was in my head right there in front of me...,1,0,0,0,1
I closed my eyes and more tears glided down my cheeks.,0,0,0,1,0
"We could have been part of organized crime, but my grandpa (who died before I was born) didn't want any part of it and decided to live an honest life.",1,0,0,1,1
Needless to say I never called him back.,0,0,1,0,0
And that concludes this post of random news from my neck of the woods!,0,0,0,0,0
"Because neither of us could drive, he also had to go to dinner with the other two beforehand and meet up with me at the show.",0,1,0,0,0
"Amanda and I carried the washer up with no problems but as we sat it down in the street, my back gave out.",0,1,0,1,0
"I'm thinking of leaving earlier, maybe this week, maybe next week... My heads a mess right now.",0,1,0,1,0
"But when i see, what i'm missing I just can't take it SO here i sit miserably all alone... Its your eyes and your smile that puts the beat in my heart And to know I can't have this just tears me apart....",0,1,0,1,0
Pain-I have injured my knee somehow.,0,1,0,1,0
It was quite old.,0,0,0,0,1
"My heart, it was finally home.",1,0,0,0,0
"Exactly a year ago i remember sitting at home on my laptop, talking to adam and whoever else, it wasnt quit as cold as it has been lately and i remember having a huge smile on my face.",1,0,0,1,0
I was less sad about missing my birthday though and more sad about missing her.,0,0,0,1,0
it was pure terror.,0,1,0,0,0
more funny than creepy being on this side of the story:,1,1,0,0,1
Luckily for me I have to use the restroom every 15 minutes so midway through our appointment I was already trying to cross my legs again.,0,1,0,0,0
"But well need large plastic bags, I dont know where to get those.",0,1,0,0,0
we got stuck on pandemonium lol it was so funny.I hurt my foot somehow lol figures now that I have no insuarance and I'm waiting to hear back from mass health.,1,1,1,1,0
This was on both sides of my chest.,0,1,0,0,0
Met a lot of random canadians that night.,1,0,0,0,1
Apparently the aftermath of the clogged toilet was pretty gruesome.,0,1,0,0,1
"There were dozens of us, crying, screaming, or in shock.",0,1,0,1,1
i think ) into my skin to make the wound bigger then squeezed everything out.,0,1,0,1,0
Seemingly because the bartenders were very heavy handed.,0,0,1,0,0
"""How the hell did you get her down?!",0,1,1,0,1
"See, I saw the movie trailer first, and it looked interesting, ( and, yes, I do have a bit of a crush on Pattinson ) and in my head I made up my own story.",1,0,0,0,0
"It never freaked me out, because it happened enough as i was small and I got used to it.",0,1,0,0,0
I was like wtf.,0,0,1,0,1
"I never felt very ""spiritual"".",0,0,0,1,0
It was just garbled.,0,1,0,0,1
This was right before sunset when we got in bed and I instantly fell asleep.,1,0,0,0,0
I have plenty more.,1,0,0,0,0
my stomach is all out of whack.,0,1,0,0,0
"I found a relatively bugless spot, went through the short version of my routine, pounded my hip with my fist a few dozen times, then got back on the road.",0,0,0,0,0
"Was a routine trip, 11 miles to RWC motoring and into a southerly wind, more wind than we saw during race time and with the sun straight in my eyes most of the way down.",0,1,0,0,0
"I was 7 and woke up early, so I went to the basement to watch cartoons.",1,0,0,0,0
I will never forget that night.,0,1,0,1,1
He changed our last name ever-so-slightly and was never caught.,0,0,0,0,1
Isn't that... Oh I don't know... Against the Bill of Rights?,0,1,1,0,1
"Yes, my belly is getting big.",0,0,0,1,0
The asphalt was so hot it had burned the balls of my feet to the point of blistering from standing on it.,0,1,1,0,0
She ended up going home after that.,0,0,0,1,0
I felt a gun pressed against my forehead and looked up.,0,1,0,0,1
"I jumped out wrapped a towel around me, dried off my hand and face and answered it.",0,0,0,0,0
Then a few days later i told her Jenny wanted me to come to the basement to play with her.,0,1,0,0,1
I liked the Trains better than the Refers.,1,0,0,0,0
my knee's are the only weight left keeping me up to abroad.,0,1,0,1,0
I'm so sorry.,0,0,0,1,0
"I had a difficult time reaching the target HR, even in the lowest gear, but I still got a really nice burn in my legs.",1,0,0,0,0
"Back in the 70s, my mom found a bag in my room.",0,1,0,0,1
"My brother was tapping me on my shoulder, and I was like `` What? ''",0,0,0,0,0
"Arms back, chin down.",0,1,0,0,0
The barn is full of corpses.,0,1,0,1,1
"Our G-mail accounts are one letter apart, mine having an ""L"" in the middle for my middle initial.",1,0,0,0,1
"And again, I kinda woke up to another dream.",1,1,0,0,1
"Its most famous picture is Picasso's Guernica, inspired by the civil war Spain was enduring.It has a selection of amazing Surrealist works by Dali and a number by Joan Miro, some of which were laughably simplistic to my eyes and a selection of art from the 1940s to present in its permanent collection.For its temporary exhibitions it had one on digital art and new media.My favourite works were the series of ` mirrors ' by Daniel Rozin from Israel.",1,0,0,0,0
"I'm still feeling woozy, it's hard to type because my muscles are not cooperating with me.",0,1,0,0,0
"A old, gray lady.",0,0,0,1,0
"' ( today ) So the story of my grandparents ' illness continues... I'm scorching my tongue on coffee, and my head on looking at the screen.",0,1,0,1,0
I'm finally going to be going back to work... haven't been able to work because of my knee.,1,1,0,1,0
Luckily the security guard is cool with me and let me stay.,1,0,0,0,0
"My face is cold, and my hands are guilty.",0,1,0,1,0
"That evening, they put me down to sleep in the cot, and went about their evening routine.",0,0,0,0,0
"I then started to cry again, with a doll in my arms.",0,0,0,1,0
"I filled it out and tried to stay calm, but my legs were still shaking!",0,1,0,0,0
Either way I was scared for my life that day...,0,1,0,0,0
""" She awoke from this odd dream and told her mum to wake up her sister.",0,1,0,0,1
I couldn't get loose and ended up pulling so hard that i pulled my tooth completely out.,0,1,0,1,0
"As I turned to walk out of the alley, a pair of brass knuckles crushed into the side of my face.",0,1,1,0,1
One drink down and she was blackout drunk.,0,1,0,1,1
I go to New York City about once a year to visit family.,1,0,0,0,0
"I had to listen closely, to close my eyes, to feel it filling my head.",0,1,0,0,0
mmm... my mouth is watering just thinking about it!,1,0,0,0,0
"Prior to, we got some humongous popsicles which turned my tongue an amazing shade of blue, and we visited the children's A&S display.",1,0,0,0,0
He wrapped his little fingers around mine and my heart melted.,1,0,0,0,0
"A strangely calming breeze crosses my face and shoulders, mysteriously skipping right over my legs.",1,0,0,0,0
I was very scared.,0,1,0,0,0
"*Creepy/unnerving* that is, and just weird.",0,1,0,0,1
He let a raccoon into our house.,0,1,1,0,1
"Then, we issued the first strike.",0,1,1,0,0
I shut my eyes and let the tears take over.,0,0,0,1,0
"I had my hand on the side of my face when I was drawing, and then I moved it and was like ` OH MY GOD I 'M BLEEDING OUT MY EARS AHHHHH!",0,1,0,0,1
Walking through the toilet aisle I decide to let a fart out and make the aisle smell.,1,0,0,0,1
It grew louder and was soon joined by a field of light angling out above my head and over the chasm.,0,0,0,0,1
I had to wear sunglasses to keep the snow out of my eyes-fortunately the brown lenses were ok for the low light.,1,0,0,0,0
See my thumbs.,0,0,0,0,0
I know last time I did this I hurt my back a little but I never learn I'm hard headed I wanted to burn up some more calories.,0,1,0,0,0
Like there was an invisible wall.,0,1,0,0,1
"Vomit lots, and lots.",0,1,0,0,0
"`` I thought that I was biting into something hard in my taco, but it was my TOOTH!",0,1,0,0,1
"I thought I was clear until I felt a hand grab my shoulder, I turned in shock to see an off duty Roman who had been passing, I knew he was a Roman from the ring which every Roman wore, his citizen's ring as they called it.",0,1,0,0,1
My roommate was asleep in his bed.,0,0,0,0,0
*** It was 11:45 pm when my cell phone buzzed in my pocket and my eyes fluttered open.,0,0,0,0,1
"My hand was indeed gone, but new fingers, stubby and underformed, were sprouting from the stub.",0,1,0,1,1
Well Yesterday went to the Hospital to have my brain poked at ( Im guessing some kind of treasure hunt thing looking for it ).,0,1,0,0,1
At times I was actually having difficulty breathing because the water was in my nose.,0,1,0,0,0
Driving around neighborhoods in the middle of the night on very little sleep everything gets to be a bit surreal.,0,1,0,0,1
"It was absolutely delicious and I enjoyed every bite, trying to push guilty thoughts out of my head, although I couldn't stop thinking all afternoon about how many calories must have been in there!",1,1,0,0,0
"Why people remember what they remember, why they forget what they forget For now just introduce her to familiar situations Gently. Shankar said in a hard, warning tone, before adding in sympathy, And hope for the best. Logan sighed, rubbing his temples in sudden exhaustion, despite the fact it was only just now creeping up on midnight.",0,1,0,1,0
I'll explain myself...,0,1,0,0,0
I shook my head.,0,0,0,0,0
My parents were confused.,0,1,0,1,1
And made worse by her crying because of the embarrassment.,0,1,0,1,0
My car door was still open so running into the street after it like a moron i tried getting into the car and winded up missing and getting stuck half in the car and half out getting drug across the street and finally ending up in someones yard when the car came to a stop after rolling over my foot with the tire.,0,1,1,1,1
What demon likes peas?,0,0,0,0,1
What is even more interesting is that I know exactly how I got this definition.,1,0,0,0,1
"i crouched and put my arm on my knee, acting like a pro, like i was amazing.",1,0,0,0,0
"i just cracked my head into a glass door.A delivery person, instead of calling me and saying `` I've got a package. ''",0,1,1,0,0
My heart starts pounding just looking at it and all the thoughts of telling John to leave have wandered out of my head for the moment.,0,1,0,0,0
"I'm now really scared cuz it's moving faster and suddenly, this shadow seems to get out of a crouch position to stand up, and begins to flail it's limbs as it's running towards me.",0,1,0,0,1
I had just had a procedure done to implant an Intrathecal Baclofen Pump in my belly.,0,1,0,0,0
Silence echoed in my head.,0,1,0,1,0
"Additionally, there was snow on the ground outside, but we found no footprints around the house and no mud or water in the kitchen where the intruder had been walking.",0,1,0,0,1
"Brushing myself off, I ate one of the apples I had It wasn't until I felt cold that a hand touched my shoulder and caused me to jump.",0,1,0,0,1
Mile 20 my feet were starting to get mad.,0,1,0,0,0
"i didn't mind because the track was awesome and i wasn't too tired, i just had a huge blister on my thumb.",1,0,0,0,0
She left in a huge hurry leaving me with the overflowing toilet after her giant dump.,0,1,1,0,1
There was chinchilla poop *everywhere*.,0,1,1,0,1
"But she doesn't know how much I ache whenever she touches me with those hands, those eyes, those lips, that ache that connects my heart, my gut, and my cunt in one fell swoop.",0,0,1,1,0
I nodded my head excitedly.,1,0,0,0,0
"A flaming ball of FIRE shoots up my leg to my hip, back down and out my toes, and I involuntarily KICK HER!",0,1,1,0,1
I suffered from severe trauma as a child.,0,1,0,1,0
"the few movies that i have watched since then, i cried my eyes out.",0,0,0,1,0
"We went out for pizza, everything was grand -- great conversation, no awkwardness -- until a friend of hers came up and started chatting, and then congratulated her on her new boyfriend, etc.",1,1,0,1,1
BUT OH GOD MY NAILS ARE BLACK CALL A PRIEST.,0,1,0,0,1
pounding my fists and screaming to a god that is not there; it's sad there had to be a battle sad i had to loose.,0,1,1,1,0
Never found anything... kind of spooky.,0,1,0,0,1
He ran outside with it to find this man at the bottom of our driveway.,0,1,0,0,1
The shock burned a part of my thumb.,0,1,0,1,1
It buoyed up my heart.,1,0,0,0,0
"I went so crazy, that I trashed my wrists and bled to the point of fainting.",0,1,1,1,0
&lt;/crazy-nutter&gt;,0,1,0,0,1
I then pushed myself up using my arms.,0,0,0,0,0
"Yesterday my back stared killing me, by 4:30 the pain was unbearable.",0,1,0,1,0
It was funny because I thought I broke my arm.,1,1,0,0,1
I got lie after lie.,0,1,1,1,0
But it's a very strange feeling.,0,1,0,0,1
Ill pay you back!,1,0,0,0,0
Now i'm stuck with a Class D Felony for Distribution of Marijuana... fucking sucks man..,0,1,1,1,0
"I remember that the phrase ""blood turning to ice"" makes sense now.",0,1,0,0,1
I took my son and moved out and he moved in with her.,0,1,1,1,0
"She claimed I beat her, raped her, tortured, and abused her.",0,1,1,1,1
The hike was absolutely gorgeous with thousands of wildflowers blooming and waterfalls tumbling down the side of the gorge... and the view from the top was stunning with the river meandering out of the Gorge... the world resting at my feet.,1,0,0,0,0
"The form itself did not shed any light, but was light.",0,0,0,0,1
How often has this been available in the past and I hadn't known and ended up with a kink in my neck?,0,1,1,0,0
"I pulled it up, still heard the gushing sound, so I turned my head, and the other one stopped immediately.",0,1,0,0,0
under my skin the itch is unscratched.,0,1,0,0,0
I had two in a row.,0,0,0,0,0
My friends and I were at the beach a few weeks ago.,1,0,0,0,0
"In order to buy food at the festival, you have to go to a tent and buy food tickets.",0,0,0,0,0
"My stomach felt a bit queasy all day yesterday so it was difficult for me to eat a lot, but I managed to have half a banana and a lot of water immediately after the race.",0,1,0,1,0
Pretty much everyone objected to my wedding.,0,1,1,1,1
"My prep nurse Deborah ( went by Debbie ( Which I thought was great because I really wanted my mom with me, but it wasn't possible with a C-Section ) ) Held my hand and told me to sit very still.",0,1,0,0,0
My stomach must be returning to normal size after months of unnecessary stretching.,0,0,0,0,0
I shall now write an abridged version of the second chapter: Chapter 2 I blinked and rubbed my eyes.,0,0,0,0,0
"I now wore a 36B bra, and my waist was down to 25 inches, but she insisted.",0,0,0,0,0
I don't need this job and you know it.,0,0,1,0,0
We noped out of there pretty fast.,0,1,0,0,1
"My nose was mashed against my face, I was in complete darkness, and the only way to breathe was the oxygen coming in through that tiny eyelet at my mouth.",0,1,0,1,0
"I got my first raspberry from a crowd surfer falling and my face hitting the monitor, battle wounds.",0,1,0,1,1
And soon well need more cabbage and potatoes.,0,0,0,0,0
"Ok so here I am trying to just sit down and write some of the really neat things that floated through my head today at work, and as soon as I get to a point when I don't have someone staring at me, all that beautiful crap flies right out of my ear and goes away... I think I left the AC on again.",0,0,0,0,0
My feet still get rubbed at the end of the day and when we go out to eat its still my choice.,1,0,0,0,0
"After entering the park, I started running ( slowly ) again and managed to run ( slowly ) across the finish where a very young ( and very cute ) teenage boy put a medal around my neck.",1,0,0,0,0
"I see the match, held tightly in my hand.",0,0,0,0,0
"Is it too hard to forget someone from the past, i wish i could, but its very hard, I think my heart is too big and i have to much room.",0,0,0,1,0
Now when I have too much to do my brain just gets distracted by all the other jobs jostling for attention.,0,1,0,0,0
"Every single time I found a girl that I was interested in, they always ended up finding some creative way to break my heart.",0,0,1,1,0
I also noticed that last year my back was killing me and I was popping Ibuprofen all night.,0,1,0,1,0
"Despite my literal and non-literal `` growing up '' in another place, I had always felt a claim to Calgary, a belonging that wound deep through my bones.",1,0,0,0,0
He's just a super nice guy who wants to help girls out all while being respectful.,1,0,0,0,0
My eyes were staring at the floor as I said this.,0,1,0,1,0
"This'll probably get buried, but what the hell?",0,0,0,0,1
"All the while, my foot throbbing.",0,1,0,0,0
"I would wake up sometime later shaking, perhaps trying to rid myself of the sleep paralysis.",0,1,0,1,0
"As I walked in the door she came around the corner, squealing with delight and ran into my arms!",1,0,0,0,1
It felt so real that I actually woke up.,0,1,0,0,1
My heart is aching today.,0,1,0,1,0
"Lots of lies, deceit, and manipulation.",0,1,1,1,0
"But, it fits my head.",1,0,0,0,0
"In my head I was thinking, Great first impression.",0,0,0,1,0
She left the room and went downstairs.,0,0,0,0,0
I was house-sitting for my grandparents.,0,0,0,0,0
The grip on my wrist tightened and my arm throbbed from the pressure.,0,1,1,0,0
It's the closest thing I've experienced that I can say was nearly unexplainable.,0,1,0,0,1
Then it began to snow... hard.,0,1,0,0,1
"The second time I saw her, she told me she was a registered sex offender.",0,1,1,1,1
"I trust this man even less than the woman, but I can't put my finger on it.",0,1,0,0,0
It was hung at a very strange angle.,0,1,0,0,1
The object was shaped funny and broken at an odd fracture.,0,1,0,0,1
"The anesthesiologist put an oxygen mask over my face, told me it wasn't the good stuff yet, then I woke up to the room flipping around.",0,1,0,0,1
"I put em in a bowl anyway, brushed my teeth, chugged a smoothy and went to work.",0,0,0,0,0
"I was able to take a bath, which felt good while I was in it and now I feel horrible again, and I brushed my teeth, and washed my hair, so give me some kudos.",1,0,0,1,0
and my hair was straight and nice already so i pull a sweater over my head and jump into some jeans run to the bathroom brush my teeth while combing my hair with my fingers grab my purse and im out the door with sunglasses on cuz i got no makeup on... so i get to the bus stop and realize... I forgot to put out the bottles and a check for the waterman who comes at 9 AM!,0,1,0,0,0
It was so fucking weird.,0,1,0,0,1
And I dongak my head to see who was in front of me.,0,0,0,0,0
Though you can guess that I already have that scene in my head.,0,0,0,0,0
I also brought my bike to the beach and held it over my head standing in the ocean.,0,0,0,0,0
P. if you're reading this...FUCK YOU.,0,0,1,0,0
We were going to blow that record away.,1,0,0,0,0
My finger is an asshole.,0,0,1,0,0
"He breathed on my face, nuzzled my hair with his nose and licked the top of my head.",1,0,0,0,0
"I imagine myself now, lying on the bed with that skipping rope tied around my neck.",0,1,0,1,0
I forgot that my mom needs to be eased into things just long enough to run my mouth off and cause an argument that was way too long.,0,0,1,0,0
"When she decided it was time to go back to my stall, I didn't want to leave and I pretended I didn't know she was asking me to pick up my head.",0,1,0,1,0
"And without even stopping to think about it, I tuck one of those boxes under my arm and go back to the living room.",1,0,0,0,0
Grandmother touches my hand.,1,0,0,0,0
I can go pee here but that's all and then no water to wash my hands.,0,1,0,0,0
I didn't look out of my hands.,0,1,0,0,0
"I thought that was a pretty good idea ( by this point, my feet hurt a LOT from all the walking and standing around ) but I didn't want to pay to see a movie.",0,1,0,0,0
He never was coming.,0,1,1,1,0
i was walking around cursing the day in my head.,0,1,1,1,0
My brain's dead weight I'm tryin to get my head straight but I can't figure out which Cheerleader i wan na impregnate.,0,1,0,1,0
I ate a pizza.,1,0,0,0,0
"I looked everywhere for those 5 cards, 2 ended up between the couch cushions, one underneath a cat tent, one behind the TV, and one in a different room completely, in between the bed cushions.",0,0,0,0,1
i've got the tug happening in my chest.,0,1,0,0,0
I've never gone back.,0,1,0,1,0
"I could still feel glass showering down and now the cut on my head was bleeding pretty badly, I could taste the blood as it ran down my face and mixed with my sweat and hit my lips.",0,1,0,1,0
"Crazy.Anyway, my feet & knees still hurt this morning.",0,1,0,0,0
"Stuck in this place, With the world rushing by, Tears stream down my face, As I stand here, waiting to die.",0,1,0,1,0
The top of the mattress comes up a little above my waist!,1,0,0,0,0
"We stayed in a really lovely hotel-I had two sinks in my bathrooms and white dressing gowns and clippers, any hotel which provides dressing gowns is a good hotel in my eyes.",1,0,0,0,0
"And here in Edinburgh, through this journey of mine, it has been right at my side, in my hand.",1,0,0,0,0
I close my eyes.,0,1,0,0,0
All the changes get thrown out of the window as I attempt to keep my head above water during this 4-day work week before the July 4th weekend.,0,1,0,0,0
One time she showed up to my door wearing a long coat and nothing but stockings and heels underneath.,0,1,0,0,1
My mum says that when she looked in the mirror she saw a pair of glowing yellow eyes.,0,1,0,0,1
"I stopped moving, bent down with my palm out, and let the squirrel jump up on my arm and onto my shoulder.",1,0,0,0,0
I remember swinging on the swings one day when I was in elementary school.,1,0,0,0,0
Just fresh powder underneath a pine grove.,1,0,0,0,0
"When I was 10, we had to paint birds for art, I was pretty good at art but a girl copied my exact one, even though we had to do different ones and I was not pleased.",0,0,1,0,1
Apparently my leg had fallen asleep and I didn't know it.,0,1,0,0,0
"Once we got them all back into the room, one little girl ( the youngest of this group ) roughly pushed a little boy who was standing near me ( I was sitting with my legs blocking the doorway ) into the door jamb in her attempt to get out.",0,1,0,0,1
"She was rude to our photographer, she was rude to a few guests, and to us.",0,0,1,0,0
It was a tempting trap and my greed forced me to fall for it and I burnt my hands there.,0,1,1,0,0
"After that it went downhill with me feeling like I was going to throw up, my throat hurting like hell and my head punding.",0,1,0,1,0
"I would be about 10 maybe, anyway i was out with my mom , dad and sister.",1,0,0,0,0
""" The other boy clarified, ""Sorry about him.",0,1,0,0,0
"I finally managed to sit up on my hands and knees, and glaring up at her.",0,0,1,0,0
Murder is the better word.,0,1,1,1,1
A very similar story happened to my grandmother.,0,0,0,0,1
The sun hung high in the deep blue sky as a slight ocean breeze ticked my face.,1,0,0,0,0
Before I knew it I was on my hands and knees and someone close to me let out a terrible grunt at the same time.,0,1,0,0,0
He pulls out a switchblade and cuts the side of my mouth.,0,1,1,1,0
Well I have the bright idea that I need to stop being like this and I end up alone on the elevator with this girl.,1,1,0,1,1
My head pounded and my lips were chalky; that was a good sign.,0,1,0,0,0
"That was a 16 hour day, 19 for most people, except I pulled a muscle in my back and couldn't move without being in excruciating pain.",0,1,0,1,0
My index fingernail is positively burnt off on the top and my finger is singeing from pain and it's all because I wanted to use a candle to light another candle why oh why am I so brainless?,0,1,1,1,0
"probably towed by now"".",0,1,0,0,0
"Oh well, Bride's Day, Bride's Way!",1,0,0,0,0
That one was probably the weirdest.,0,0,0,0,1
"Now, I just sit there and nod my head, as I listen to the excuses people use to not make positive changes in their life.",0,0,0,0,0
"Despite my anxiety, You were there with me, Diligently working in my heart, Stripping me of all of my pretense, Scourging me of all of my arrogance, Revealing each of my self-serving ways, Which have made my life a wasteland.",1,1,0,1,0
Then Bodybag was on my case and was ordering a cell search and people were shoving the `` uppers '' into my hands to which I was there trying to hide them in my pockets and such.,0,1,1,0,0
